"Kod";"Nazwa";"Pojazdy";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2015";381831;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2016";403063;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2017";420935;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2018";442005;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2019";459889;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2020";476466;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"ogółem";"2021";492418;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2015";24738;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2016";32501;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2017";38429;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2018";43565;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2019";43983;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2020";39490;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"do 1 roku";"2021";37415;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2015";11003;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2016";13053;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2017";16172;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2018";19979;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2019";24333;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2020";24560;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"2 lata";"2021";23750;"szt.";"";
0264000;"Powiat m. Wrocław";"samochody osobowe";"3 lata";"2015";10623;"szt.";"";
