name,city,region,make,price,year,mileage,engine_capacity,fuel_type,price
Ford Focus 1.6 Ambiente,Słupsk,Pomorskie,ford,2789,1998,238000,1596,petrol,2789
Citroën C4 Picasso 2.0i Exclusive MCP,Kutno,Łódzkie,citroen,15900,2008,201000,1997,petrol,15900
Volvo C30 2.0 Momentum,Kutno,Łódzkie,volvo,18900,2007,170000,1999,petrol,18900
Audi A4 Allroad 2.0 TFSI Quattro S tronic,Kraków,Małopolskie,audi,173000,2019,22000,1984,petrol,173000
Mazda 6 Kombi SKYACTIV-D 175 Drive i-ELOOP Nakama Intense,Słupca,Wielkopolskie,mazda,58500,2016,150000,2191,diesel,58500
Audi S6 4.0 TFSI Quattro S tronic,Warszawa,Mazowieckie,audi,92888,2016,68000,3993,petrol,92888
Volkswagen Golf,Lublin,Lubelskie,volkswagen,15600,2005,253000,1896,diesel,15600
Volvo XC 60 D3 Momentum,Bielsko-Biała,Śląskie,volvo,73000,2014,235000,1984,diesel,73000
Honda HR-V 1.5 Elegance (ADAS/Honda Connect+),Łódź,Łódzkie,honda,64000,2016,179300,1498,petrol,64000
BMW Seria 4 M440i xDrive mHEV sport,Łódź,Łódzkie,bmw,288000,2020,32000,2998,petrol,288000
Mercedes-Benz Klasa E,Września,Wielkopolskie,mercedes-benz,28000,2006,330000,2987,diesel,28000
Mazda 5 2.0 CD Comfort,Leszno,Wielkopolskie,mazda,9200,2007,247900,1998,diesel,9200
Citroën C3,Zgorzelec,Dolnośląskie,citroen,6900,2004,200000,1124,petrol,6900
Skoda Octavia 2.0 TSI Ambition DSG,Sochaczew,Mazowieckie,skoda,64999,2018,180000,1984,petrol,64999
Volkswagen Golf VII 1.6 TDI BMT Comfortline,Sochaczew,Mazowieckie,volkswagen,54999,2018,163000,1598,diesel,54999
Ford KA 1.2 Titanium ASS EU6,Sosnowiec,Śląskie,ford,23400,2013,76400,1242,petrol,23400
MINI Cooper S Coupe,Warszawa,Mazowieckie,mini,38000,2012,170000,1598,petrol,38000
Porsche 911,Węgrzce,Małopolskie,porsche,198000,2004,127000,3596,petrol,198000
Porsche Cayenne Standard,Węgrzce,Małopolskie,porsche,365000,2018,56000,2995,petrol,365000
Audi A5,Węgrzce,Małopolskie,audi,225000,2019,23000,1984,petrol,225000
Land Rover Discovery Sport,Węgrzce,Małopolskie,land-rover,186000,2019,51000,1997,petrol,186000
Volvo XC 60 T6 GPF AWD R-Design,Węgrzce,Małopolskie,volvo,189900,2018,66593,1969,petrol,189900
Mercedes-Benz GLS 350 d 4-Matic,Węgrzce,Małopolskie,mercedes-benz,289900,2016,84500,2987,diesel,289900
Nissan Qashqai 1.3 DIG-T mHEV N-Connecta Xtronic,Zielona Góra,Lubuskie,nissan,164000,2023,5,1332,petrol,164000
Volkswagen Tiguan 2.0 TDI DPF 4Motion BlueMotion Technology Cup Sport & Style,Gniezno,Wielkopolskie,volkswagen,56500,2015,194000,1968,diesel,56500
BMW X6M,Rzeszów,Podkarpackie,bmw,470000,2021,42000,4395,petrol,470000
Kia Sportage 1.7 CRDI M 2WD DCT,Piaseczno,Mazowieckie,kia,82900,2018,111000,1685,diesel,82900
Mercedes-Benz Klasa C 200 4-Matic 9G-TRONIC,Tarnobrzeg,Podkarpackie,mercedes-benz,147500,2018,49000,1991,petrol,147500
Alfa Romeo Giulietta 1.4 TB Progression,Radom,Mazowieckie,alfa-romeo,30500,2011,218582,1368,petrol,30500
Mercedes-Benz GLA 200 7G-DCT AMG Line,Kraków,Małopolskie,mercedes-benz,123000,2019,34000,1595,petrol,123000
Porsche Boxster S PDK,Gniezno,Wielkopolskie,porsche,219900,2014,110000,3436,petrol,219900
Land Rover Discovery Sport 2.0 Si4 HSE,Gdańsk,Pomorskie,land-rover,179900,2019,70650,1997,petrol,179900
Mazda 6 2.5 SkyPassion,Bielsko-Biała,Śląskie,mazda,114411,2018,54856,2488,petrol,114411
Seat Alhambra 2.0 TDI Style DSG,Kraków,Małopolskie,seat,73900,2015,191200,1968,diesel,73900
Opel Astra,Bytów,Pomorskie,opel,9200,2003,200000,1796,petrol-lpg,9200
Dacia Duster 1.6 Laureate,Mława,Mazowieckie,dacia,33500,2010,125000,1598,petrol-lpg,33500
Volkswagen Tiguan 2.0 TDI 4Mot R-Style DSG,Brzozów,Podkarpackie,volkswagen,63900,2013,193260,1968,diesel,63900
Volkswagen Golf VIII 1.5 TSI EVO Life,Pabianice,Łódzkie,volkswagen,94900,2020,44000,1498,petrol,94900
Skoda Superb 2.0 TDI Ambition DSG,Jankowice,Śląskie,skoda,51500,2015,199000,1968,diesel,51500
Toyota C-HR,Miękinia,Dolnośląskie,toyota,82500,2018,50000,1197,petrol,82500
BMW X3,Rzeszów,Podkarpackie,bmw,95000,2017,98229,1998,petrol,95000
BMW X5 4.8i xDrive,Lublin,Lubelskie,bmw,62900,2007,281000,4799,petrol-lpg,62900
BMW X6 xDrive30d M Sport,Sobótka,Dolnośląskie,bmw,205000,2017,162000,2993,diesel,205000
Peugeot 308 1.6 HDi Trendy,Mielżyn,Wielkopolskie,peugeot,13900,2009,250000,1560,diesel,13900
Hyundai I30 1.6 CRDi Comfort EU5,Częstochowa,Śląskie,hyundai,22900,2012,180000,1582,diesel,22900
Ford Mondeo Turnier 2.0 TDCi Start-Stopp PowerShift-Aut Titanium,Bogatki,Mazowieckie,ford,49900,2015,196900,1997,diesel,49900
Cupra Born 58kWh,Gdańsk,Pomorskie,cupra,199000,2022,8300,,electric,199000
Toyota Yaris 1.6 Dynamic,Konstancin-Jeziorna,Mazowieckie,toyota,198900,2022,10,1618,petrol,198900
Seat Leon 1.6 Stella,Łódź,Łódzkie,seat,7700,2002,304150,1598,petrol-lpg,7700
Citroën C5 Aircross 1.5 BlueHDi Shine,Grudziądz,Kujawsko-pomorskie,citroen,89500,2019,33500,1499,diesel,89500
BMW Seria 5 523i,Biała Podlaska,Lubelskie,bmw,33300,2007,180000,2497,petrol,33300
Mazda CX-5 2.0 Skymotion,Stalowa Wola,Podkarpackie,mazda,63000,2012,176000,1998,petrol,63000
BMW Seria 3 318d Sport Line,Krzeszów,Dolnośląskie,bmw,65000,2016,214000,1995,diesel,65000
Renault Kadjar 1.5 dCi Energy Spring Edition Plus,Warszawa,Mazowieckie,renault,62700,2016,179400,1461,diesel,62700
Mercedes-Benz GLE Coupe 350 d 4-Matic,Poznań,Wielkopolskie,mercedes-benz,249000,2018,97000,2987,diesel,249000
Peugeot 307 2.0 HDi,Kraków,Małopolskie,peugeot,4900,2003,376660,1997,diesel,4900
Citroën C4 1.6 16V SX,Ostrów Wielkopolski,Wielkopolskie,citroen,16500,2008,141000,1587,petrol,16500
Ford Mondeo,Biała Podlaska,Lubelskie,ford,65000,2015,170000,1997,diesel,65000
Seat Ibiza 1.2 TDI Ecomotive Reference,Dąbrowa Górnicza,Śląskie,seat,21000,2013,140000,1199,diesel,21000
