,year,month,day,price
0,2023,04,20,6.66
1,2023,04,13,6.8
2,2023,04,06,6.8
3,2023,03,30,6.75
4,2023,03,23,6.68
5,2023,03,16,6.63
6,2023,03,09,6.71
7,2023,03,02,6.7
8,2023,02,23,6.7
9,2023,02,16,6.71
10,2023,02,09,6.73
11,2023,02,02,6.67
12,2023,01,26,6.69
13,2023,01,19,6.64
14,2023,01,12,6.54
15,2023,01,05,6.52
16,2022,12,29,6.57
17,2022,12,22,6.54
18,2022,12,15,6.53
19,2022,12,08,6.54
20,2022,12,01,6.54
21,2022,11,24,6.56
22,2022,11,17,6.58
23,2022,11,10,6.62
24,2022,11,02,6.64
25,2022,10,27,6.64
26,2022,10,20,6.84
27,2022,10,13,6.97
28,2022,10,06,6.94
29,2022,09,29,6.58
30,2022,09,22,6.35
31,2022,09,15,6.24
32,2022,09,08,6.36
33,2022,09,01,6.53
34,2022,08,25,6.64
35,2022,08,18,6.63
36,2022,08,11,6.65
37,2022,08,04,6.78
38,2022,07,28,7.0
39,2022,07,21,7.34
40,2022,07,14,7.4
41,2022,07,07,7.58
42,2022,06,30,7.61
43,2022,06,23,7.82
44,2022,06,16,7.95
45,2022,06,08,7.96
46,2022,06,02,7.97
47,2022,05,26,7.89
48,2022,05,19,7.36
49,2022,05,12,7.32
50,2022,05,05,6.91
51,2022,04,28,6.7
52,2022,04,21,6.55
53,2022,04,14,6.5
54,2022,04,07,6.42
55,2022,03,31,6.5
56,2022,03,24,6.68
57,2022,03,17,6.65
58,2022,03,10,6.67
59,2022,03,03,7.05
60,2022,02,24,6.14
61,2022,02,17,5.57
62,2022,02,10,5.39
63,2022,02,03,5.31
64,2022,01,27,5.21
65,2022,01,20,5.87
66,2022,01,13,5.78
67,2022,01,06,5.72
68,2021,12,28,5.73
69,2021,12,23,5.73
70,2021,12,15,5.75
71,2021,12,09,5.97
72,2021,12,02,5.99
73,2021,11,25,6.03
74,2021,11,18,6.04
75,2021,11,11,6.02
76,2021,11,03,5.99
77,2021,10,28,5.99
78,2021,10,21,5.96
79,2021,10,14,5.93
80,2021,10,07,5.9
81,2021,09,30,5.85
82,2021,09,23,5.83
83,2021,09,16,5.8
84,2021,09,09,5.79
85,2021,09,02,5.72
86,2021,08,26,5.72
87,2021,08,19,5.72
88,2021,08,12,5.72
89,2021,08,05,5.72
90,2021,07,29,5.72
91,2021,07,22,5.72
92,2021,07,15,5.71
93,2021,07,08,5.69
94,2021,07,01,5.56
95,2021,06,24,5.5
96,2021,06,17,5.45
