Data,Wartość
2023-04-20,6.66 
2023-04-13,6.8 
2023-04-06,6.8 
2023-03-30,6.75 
2023-03-23,6.68 
2023-03-16,6.63 
2023-03-09,6.71 
2023-03-02,6.7 
2023-02-23,6.7 
2023-02-16,6.71 
2023-02-09,6.73 
2023-02-02,6.67 
2023-01-26,6.69 
2023-01-19,6.64 
2023-01-12,6.54 
2023-01-05,6.52 
2022-12-29,6.57 
2022-12-22,6.54 
2022-12-15,6.53 
2022-12-08,6.54 
2022-12-01,6.54 
2022-11-24,6.56 
2022-11-17,6.58 
2022-11-10,6.62 
2022-11-02,6.64 
2022-10-27,6.64 
2022-10-20,6.84 
2022-10-13,6.97 
2022-10-06,6.94 
2022-09-29,6.58 
2022-09-22,6.35 
2022-09-15,6.24 
2022-09-08,6.36 
2022-09-01,6.53 
2022-08-25,6.64 
2022-08-18,6.63 
2022-08-11,6.65 
2022-08-04,6.78 
2022-07-28,7.
2022-07-21,7.34 
2022-07-14,7.4 
2022-07-07,7.58 
2022-06-30,7.61 
2022-06-23,7.82 
2022-06-16,7.95 
2022-06-08,7.96 
2022-06-02,7.97 
2022-05-26,7.89 
2022-05-19,7.36 
2022-05-12,7.32 
2022-05-05,6.91 
2022-04-28,6.7 
2022-04-21,6.55 
2022-04-14,6.5 
2022-04-07,6.42 
2022-03-31,6.5 
2022-03-24,6.68 
2022-03-17,6.65 
2022-03-10,6.67 
2022-03-03,7.05 
2022-02-24,6.14 
2022-02-17,5.57 
2022-02-10,5.39 
2022-02-03,5.31 
2022-01-27,5.21 
2022-01-20,5.87 
2022-01-13,5.78 
2022-01-06,5.72 
2021-12-28,5.73 
2021-12-23,5.73 
2021-12-15,5.75 
2021-12-09,5.97 
2021-12-02,5.99 
2021-11-25,6.03 
2021-11-18,6.04 
2021-11-11,6.02 
2021-11-03,5.99 
2021-10-28,5.99 
2021-10-21,5.96 
2021-10-14,5.93 
2021-10-07,5.9 
2021-09-30,5.85 
2021-09-23,5.83 
2021-09-16,5.8 
2021-09-09,5.79 
2021-09-02,5.72 
2021-08-26,5.72 
2021-08-19,5.72 
2021-08-12,5.72 
2021-08-05,5.72 
2021-07-29,5.72 
2021-07-22,5.72 
2021-07-15,5.71 
2021-07-08,5.69 
2021-07-01,5.56 
2021-06-24,5.5 
2021-06-17,5.45 
2021-06-10,5.34 
2021-06-03,5.26 
2021-05-27,5.25 
2021-05-20,5.26 
2021-05-13,5.26 
2021-05-06,5.26 
2021-04-29,5.26 
2021-04-22,5.27 
2021-04-15,5.27 
2021-04-08,5.27 
2021-04-01,5.26 
2021-03-25,5.23 
2021-03-18,5.23 
2021-03-11,5.2 
2021-03-04,5.08 
2021-02-25,4.98 
2021-02-18,4.96 
2021-02-11,4.85 
2021-02-04,4.76 
2021-01-28,4.71 
